os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
30044,banco_solucoes.db,8,CONTINENTE ATACAREJO,Continente Atacarejo de Alimentos LTDA,0.917,Liberado,2026-05-20,2026-03-12,13537.5,6,safe,Liberado,mark_invoiced,1
30045,banco_empresa.db,711,VIANA & MOURA,VIANA & MOURA,1.0,Liberado,2026-04-07,2026-03-12,2400.0,127,safe,Liberado,mark_invoiced,1
30046,banco_empresa.db,711,VIANA & MOURA,VIANA & MOURA,1.0,Liberado,2026-04-07,2026-03-12,2400.0,127,safe,Liberado,mark_invoiced,1
30050,banco_empresa.db,719,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-04-14,2026-03-16,14250.0,136,safe,Liberado,mark_invoiced,1
30054,banco_empresa.db,719,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-04-14,2026-03-18,14250.0,136,safe,Liberado,mark_invoiced,1
30057,banco_empresa.db,832,ALPHA PLAST,ALPHA PLAST,1.0,Aprovado,2026-08-03,2026-03-19,4100.0,221,safe,Aprovado,mark_invoiced,1
30060,banco_empresa.db,832,ALPHA PLAST,ALPHA PLAST,1.0,Liberado,2026-08-03,2026-03-19,4100.0,221,safe,Liberado,mark_invoiced,1
30063,banco_empresa.db,705,NORDESTE MAIS ALIMENTOS,NORDESTE MAIS,0.891,Liberado,2026-04-01,2026-03-23,6350.0,125,safe,Liberado,mark_invoiced,2
30064,banco_automacao.db,980,CORR PLASTIK,CORRPLASTIK,0.957,Liberado,2026-03-30,2026-03-23,7666.66,14,safe,Liberado,mark_invoiced,3
30065,banco_empresa.db,694,TOTAL PLAST,TOTAL PLAST,1.0,Liberado,2026-04-01,2026-03-24,4000.0,116,safe,Liberado,mark_invoiced,1
30075,banco_empresa.db,721,TOTAL PLAST,TOTAL PLAST,1.0,Liberado,2026-04-15,2026-03-30,6300.0,138,safe,Liberado,mark_invoiced,1
30077,banco_automacao.db,979,ORIZON,ORIZON BIOMETANO JABOATAO DOS GUARARAPES,0.792,Liberado,2026-04-02,2026-03-31,17400.0,17,safe,Liberado,mark_invoiced,1
30081,banco_empresa.db,728,MONDELEZ,MONDELEZ,1.0,Liberado,2026-05-04,2026-04-01,13116.21,144,safe,Liberado,mark_invoiced,1
30087,banco_empresa.db,733,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-05-05,2026-04-01,5000.0,147,safe,Aprovado,mark_invoiced,1
30088,banco_empresa.db,750,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-05-18,2026-04-01,11412.75,163,safe,Aprovado,mark_invoiced,1
30091,banco_empresa.db,800,CAMPARI,CAMPARI,1.0,Aprovado,2026-07-15,2026-04-02,4500.0,210,safe,Aprovado,mark_invoiced,1
30094,banco_empresa.db,712,ASA,ASA,1.0,Liberado,2026-04-09,2026-04-06,5500.0,130,safe,Liberado,mark_invoiced,1
30095,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Aprovado,2026-05-07,2026-04-08,104355.0,25,safe,Aprovado,mark_invoiced,1
30096,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Liberado,2026-05-07,2026-04-08,104355.0,25,safe,Liberado,mark_invoiced,1
30097,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Entrada,2026-05-07,2026-04-08,104355.0,25,safe,Entrada,mark_invoiced,1
30098,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Entrada,2026-05-07,2026-04-08,104355.0,25,safe,Entrada,mark_invoiced,1
30099,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Entrada,2026-05-07,2026-04-08,104355.0,25,safe,Entrada,mark_invoiced,1
30100,banco_automacao.db,992,CORURIPE,CORURIPE,1.0,Entrada,2026-05-07,2026-04-08,104355.0,25,safe,Entrada,mark_invoiced,1
30101,banco_automacao.db,993,CORURIPE,CORURIPE,1.0,Aprovado,2026-05-08,2026-04-08,17311.5,26,safe,Aprovado,mark_invoiced,1
30119,banco_empresa.db,723,FIABESA,FIABESA,1.0,Liberado,2026-04-22,2026-04-14,600.0,139,safe,Liberado,mark_invoiced,1
30126,banco_empresa.db,791,INDUMOTOR,INDUMOTOR,1.0,Aprovado,2026-07-09,2026-04-15,2500.0,SMF,safe,Aprovado,mark_invoiced,1
30127,banco_empresa.db,791,INDUMOTOR,INDUMOTOR,1.0,Liberado,2026-07-09,2026-04-15,2500.0,SMF,safe,Liberado,mark_invoiced,1
30139,banco_automacao.db,991,COAF,COAF,1.0,Entrada,2026-05-04,2026-04-16,8000.0,23,safe,Entrada,mark_invoiced,1
30140,banco_automacao.db,991,COAF,COAF,1.0,Entrada,2026-05-04,2026-04-16,8000.0,23,safe,Entrada,mark_invoiced,1
30141,banco_empresa.db,722,INJETEC,INJETEC,1.0,Liberado,2026-04-16,2026-04-16,500.0,SNF,safe,Liberado,mark_invoiced,1
30142,banco_automacao.db,987,CORR PLASTIK,CORRPLASTIK,0.957,Liberado,2026-05-04,2026-04-16,15500.0,22,safe,Liberado,mark_invoiced,4
30143,banco_solucoes.db,3,AÇO MAIS LTDA,AÇO MAIS,1.0,Liberado,2026-04-22,2026-04-17,7487.0,3,safe,Liberado,mark_invoiced,1
30147,banco_automacao.db,991,COAF,COAF,1.0,Entrada,2026-05-04,2026-04-23,8000.0,23,safe,Entrada,mark_invoiced,1
30148,banco_empresa.db,755,CAMPARI,CAMPARI,1.0,Aprovado,2026-06-01,2026-04-23,5750.0,168,safe,Aprovado,mark_invoiced,1
30149,banco_empresa.db,742,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-05-08,2026-04-23,7500.0,157,safe,Liberado,mark_invoiced,1
30166,banco_empresa.db,767,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-04-23,16625.0,180,safe,Liberado,mark_invoiced,1
30167,banco_empresa.db,767,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-04-23,16625.0,180,safe,Liberado,mark_invoiced,1
30168,banco_empresa.db,767,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-04-23,16625.0,180,safe,Liberado,mark_invoiced,1
30169,banco_empresa.db,767,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-04-23,16625.0,180,safe,Liberado,mark_invoiced,1
30170,banco_empresa.db,767,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-04-23,16625.0,180,safe,Liberado,mark_invoiced,1
30173,banco_automacao.db,994,USINA SÃO JOSE,USINA SÃO JOSE,1.0,Liberado,2026-05-12,2026-04-24,19500.0,27,safe,Liberado,mark_invoiced,1
30174,banco_automacao.db,994,USINA SÃO JOSE,USINA SÃO JOSE,1.0,Liberado,2026-05-12,2026-04-24,19500.0,27,safe,Liberado,mark_invoiced,1
30178,banco_empresa.db,737,PERFIL PLAST,PERFIL PLAST,1.0,Liberado,2026-05-07,2026-04-24,3250.0,151,safe,Liberado,mark_invoiced,1
30181,banco_empresa.db,744,NORDESTE MAIS,NORDESTE MAIS,1.0,Liberado,2026-05-13,2026-04-28,6000.0,159,safe,Liberado,mark_invoiced,3
30188,banco_empresa.db,768,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-05-05,9200.0,181,safe,Liberado,mark_invoiced,1
30189,banco_empresa.db,768,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-05-05,9200.0,181,safe,Liberado,mark_invoiced,1
30190,banco_empresa.db,768,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-05-05,9200.0,181,safe,Liberado,mark_invoiced,1
30191,banco_empresa.db,768,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-05-05,9200.0,181,safe,Liberado,mark_invoiced,1
30199,banco_automacao.db,996,CORRPLASTIK,CORRPLASTIK,1.0,Liberado,2026-05-20,2026-05-08,4650.0,29,safe,Liberado,mark_invoiced,2
30200,banco_empresa.db,770,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-06-05,2026-05-08,26352.0,183,safe,Ag. Aprovação,mark_invoiced,1
30204,banco_empresa.db,771,FIABESA,FIABESA,1.0,Entrada,2026-06-08,2026-05-13,3000.0,184,safe,Entrada,mark_invoiced,2
30210,banco_empresa.db,757,FIABESA,FIABESA,1.0,Aprovado,2026-06-01,2026-05-13,400.0,170,safe,Aprovado,mark_invoiced,1
30212,banco_empresa.db,747,AÇO MAIS,AÇO MAIS,1.0,Liberado,2026-05-15,2026-05-14,700.0,160,safe,Liberado,mark_invoiced,1
30214,banco_automacao.db,995,CAPRICCHE,CAPRICCHE,1.0,Liberado,2026-05-18,2026-05-14,10000.0,28,safe,Liberado,mark_invoiced,1
30221,banco_automacao.db,1015,USINA CAETE,USINA CAETE DE SÃO MIGUEL,0.875,Ag. Aprovação,2026-07-09,2026-05-15,2755.0,44,safe,Ag. Aprovação,mark_invoiced,1
30222,banco_empresa.db,753,EDK MINERAÇÃO,EDK MINERAÇÃO,1.0,Ag. Aprovação,2026-05-21,2026-05-18,2000.0,166,safe,Ag. Aprovação,mark_invoiced,1
30227,banco_empresa.db,769,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-06-05,2026-05-20,8600.0,182,safe,Ag. Aprovação,mark_invoiced,1
30228,banco_empresa.db,769,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-06-05,2026-05-20,8600.0,182,safe,Ag. Aprovação,mark_invoiced,1
30229,banco_empresa.db,769,MONDELEZ,MONDELEZ,1.0,Sem conserto,2026-06-05,2026-05-20,8600.0,182,safe,Sem conserto,mark_invoiced,1
30230,banco_empresa.db,769,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-06-05,2026-05-20,8600.0,182,safe,Ag. Aprovação,mark_invoiced,1
30232,banco_solucoes.db,10,VISE,VISE,1.0,Liberado,2026-06-09,2026-05-20,5000.0,8,safe,Liberado,mark_invoiced,1
30233,banco_empresa.db,778,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-15,2026-05-21,7500.0,191,safe,Liberado,mark_invoiced,1
30234,banco_empresa.db,778,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-15,2026-05-21,7500.0,191,safe,Liberado,mark_invoiced,1
30235,banco_empresa.db,778,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-06-15,2026-05-21,7500.0,191,safe,Ag. Aprovação,mark_invoiced,1
30236,banco_empresa.db,770,MONDELEZ,MONDELEZ,1.0,Liberado,2026-06-05,2026-05-21,26352.0,183,safe,Liberado,mark_invoiced,1
30238,banco_automacao.db,1009,CORR PLASTIK,CORRPLASTIK,0.957,Aprovado,2026-07-07,2026-05-21,9200.0,42,safe,Aprovado,mark_invoiced,3
30239,banco_empresa.db,793,MASTER BOI,MASTER BOI LTDA,1.0,Liberado,2026-07-13,2026-05-25,2375.0,202,safe,Liberado,mark_invoiced,1
30241,banco_empresa.db,793,MASTER BOI,MASTER BOI LTDA,1.0,Liberado,2026-07-13,2026-05-25,2375.0,202,safe,Liberado,mark_invoiced,1
30245,banco_empresa.db,781,VIANE & MOURA,VIANA & MOURA,0.909,Liberado,2026-07-01,2026-05-26,4500.0,194,safe,Liberado,mark_invoiced,1
30250,banco_empresa.db,775,AMBEV,AMBEV,1.0,Ag. Aprovação,2026-06-10,2026-05-27,39235.0,188,safe,Ag. Aprovação,mark_invoiced,1
30252,banco_empresa.db,784,FIABESA,FIABESA,1.0,Aprovado,2026-07-01,2026-05-28,1000.0,197,safe,Aprovado,mark_invoiced,1
30253,banco_empresa.db,756,TOTAL PLAST,TOTAL PLAST,1.0,Aprovado,2026-06-01,2026-05-29,5000.0,169,safe,Aprovado,mark_invoiced,1
30255,banco_empresa.db,787,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-07-02,2026-06-02,5500.0,200,safe,Aprovado,mark_invoiced,1
30258,banco_empresa.db,788,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-07-03,2026-06-03,3000.0,201,safe,Aprovado,mark_invoiced,1
30259,banco_empresa.db,788,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-07-03,2026-06-03,3000.0,201,safe,Aprovado,mark_invoiced,1
30261,banco_automacao.db,1005,CAPRICHE,CAPRICCHE,0.941,Ag. Aprovação,2026-07-01,2026-06-03,10400.0,39,safe,Ag. Aprovação,mark_invoiced,1
30262,banco_automacao.db,1005,CAPRICHE,CAPRICCHE,0.941,Ag. Aprovação,2026-07-01,2026-06-03,10400.0,39,safe,Ag. Aprovação,mark_invoiced,1
30264,banco_empresa.db,790,VITRIUM,VITRIUM,1.0,Ag. Aprovação,2026-07-07,2026-06-05,4000.0,204,safe,Ag. Aprovação,mark_invoiced,1
30267,banco_empresa.db,825,FIABESA,FIABESA,1.0,Aprovado,2026-08-05,2026-06-08,5500.0,231,safe,Aprovado,mark_invoiced,1
30294,banco_empresa.db,776,ISIS,ISIS,1.0,Liberado,2026-06-11,2026-06-10,1000.0,189,safe,Liberado,mark_invoiced,1
30295,banco_automacao.db,1001,LGS AUTOMAÇÃO,LGS AUTOMACAO E ENGENHARIA LTDA,0.875,Liberado,2026-06-16,2026-06-10,1995.0,33,safe,Liberado,mark_invoiced,1
30297,banco_empresa.db,782,MECHILAN - COMERCIO DE PEÇAS PESADAS,COMERCIO DE PECAS PESADAS,0.898,Ag. Aprovação,2026-07-01,2026-06-10,1500.0,195,safe,Ag. Aprovação,mark_invoiced,2
30298,banco_empresa.db,779,MONDELEZ,MONDELEZ,1.0,Entrada,2026-06-20,2026-06-11,1902.93,192,safe,Entrada,mark_invoiced,1
30299,banco_automacao.db,1000,COCO DO VALE,COCO DO VALE,1.0,Entrada,2026-06-15,2026-06-11,3000.0,32,safe,Entrada,mark_invoiced,1
30303,banco_empresa.db,792,M DIAS RN,M DIAS BRANCO RN,0.72,Ag. Aprovação,2026-07-10,2026-06-15,12500.0,205,safe,Ag. Aprovação,mark_invoiced,1
30305,banco_empresa.db,786,FIABESA,FIABESA,1.0,Entrada,2026-07-01,2026-06-15,1500.0,199,safe,Entrada,mark_invoiced,1
30307,banco_empresa.db,820,MABOR,MABOR,1.0,Liberado,2026-08-04,2026-06-16,2137.5,225,safe,Liberado,mark_invoiced,2
30308,banco_empresa.db,820,MABOR,MABOR,1.0,Liberado,2026-08-04,2026-06-16,2137.5,225,safe,Liberado,mark_invoiced,2
30309,banco_empresa.db,820,MABOR,MABOR,1.0,Liberado,2026-08-04,2026-06-16,2137.5,225,safe,Liberado,mark_invoiced,2
30311,banco_automacao.db,1004,COLORATA PACKING,Colorata Packing Colorata Industria,0.91,Entrada,2026-06-18,2026-06-17,500.0,SNF,safe,Entrada,mark_invoiced,1
30316,banco_empresa.db,806,JOSAPAR,JOSAPAR,1.0,Ag. Aprovação,2026-07-23,2026-06-19,500.0,215,safe,Ag. Aprovação,mark_invoiced,1
30322,banco_empresa.db,780,AMBEV,AMBEV,1.0,Ag. Aprovação,2026-07-01,2026-06-25,32000.0,193,safe,Ag. Aprovação,mark_invoiced,1
30323,banco_empresa.db,780,AMBEV,AMBEV,1.0,Ag. Aprovação,2026-07-01,2026-06-25,32000.0,193,safe,Ag. Aprovação,mark_invoiced,1
30324,banco_empresa.db,780,AMBEV,AMBEV,1.0,Ag. Aprovação,2026-07-01,2026-06-25,32000.0,193,safe,Ag. Aprovação,mark_invoiced,1
30325,banco_empresa.db,780,AMBEV,AMBEV,1.0,Ag. Aprovação,2026-07-01,2026-06-25,32000.0,193,safe,Ag. Aprovação,mark_invoiced,1
30326,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-07-01,2026-06-25,22500.0,198,safe,Ag. Aprovação,mark_invoiced,1
30327,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30328,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30329,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30330,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30331,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30332,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30333,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30334,banco_empresa.db,785,MONDELEZ,MONDELEZ,1.0,Entrada,2026-07-01,2026-06-25,22500.0,198,safe,Entrada,mark_invoiced,1
30336,banco_empresa.db,847,FIABESA,FIABESA,1.0,Aprovado,2026-08-21,2026-06-26,1200.0,256,safe,Aprovado,mark_invoiced,1
30337,banco_empresa.db,829,FIABESA,FIABESA,1.0,Liberado,2026-08-05,2026-06-26,2000.0,234,safe,Liberado,mark_invoiced,1
30341,banco_empresa.db,846,MONDELEZ,MONDELEZ,1.0,Liberado,2026-08-21,2026-06-26,6900.0,255,safe,Liberado,mark_invoiced,1
30345,banco_automacao.db,1012,USINA PORTO RICO,USINA PORTO RICO,1.0,Aprovado,2026-07-09,2026-06-29,33000.0,43,safe,Aprovado,mark_invoiced,1
30348,banco_empresa.db,839,MASTER BOI,MASTER BOI LTDA,1.0,Aprovado,2026-08-13,2026-06-30,2090.0,249,safe,Aprovado,mark_invoiced,1
30349,banco_solucoes.db,11,FERREIRA COSTA,FERREIA COSTA,0.963,Aprovado,2026-07-07,2026-07-01,2185.0,09,safe,Aprovado,mark_invoiced,1
30350,banco_empresa.db,827,MONDELEZ,MONDELEZ,1.0,Ag. Aprovação,2026-08-05,2026-07-02,1500.0,232,safe,Ag. Aprovação,mark_invoiced,1
30352,banco_empresa.db,801,IF DOS SANTOS,IF DOS SANTOS,1.0,Liberado,2026-07-15,2026-07-02,2000.0,211,safe,Liberado,mark_invoiced,1
30353,banco_empresa.db,801,IF DOS SANTOS,IF DOS SANTOS,1.0,Liberado,2026-07-15,2026-07-02,2000.0,211,safe,Liberado,mark_invoiced,1
30355,banco_empresa.db,797,COAF CRUANGI,COAF CRUANGI,1.0,Liberado,2026-07-14,2026-07-02,2500.0,208,safe,Liberado,mark_invoiced,1
30356,banco_empresa.db,797,COAF CRUANGI,COAF CRUANGI,1.0,Liberado,2026-07-14,2026-07-02,2500.0,208,safe,Liberado,mark_invoiced,1
30357,banco_automacao.db,1007,COCO DE VALE,COCO DO VALE,1.0,Entrada,2026-07-03,2026-07-02,10750.0,41,safe,Entrada,mark_invoiced,2
30358,banco_empresa.db,811,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-08-03,2026-07-03,6122.0,217,safe,Aprovado,mark_invoiced,1
30359,banco_automacao.db,1006,MEKSOL,MEKSOL BRASIL APOIO ADMINISTRATIVO LTDA,0.794,Liberado,2026-07-03,2026-07-03,1000.0,40,safe,Liberado,mark_invoiced,1
30363,banco_empresa.db,798,PNEUMATEX,PNEUMATEX,1.0,Ag. Aprovação,2026-07-14,2026-07-03,2000.0,209,safe,Ag. Aprovação,mark_invoiced,1
30364,banco_empresa.db,814,I F DOS SANTOS,IF DOS SANTOS,0.947,Liberado,2026-08-03,2026-07-06,2800.0,220,safe,Liberado,mark_invoiced,1
30365,banco_empresa.db,814,I F DOS SANTOS,IF DOS SANTOS,0.947,Liberado,2026-08-03,2026-07-06,2800.0,220,safe,Liberado,mark_invoiced,1
30366,banco_automacao.db,1022,USINA SAO JOSE PINHEIRO,USINA S JOSÉ PINHEIRO,0.905,Ag. Aprovação,2026-08-07,2026-07-06,18095.6,52,safe,Ag. Aprovação,mark_invoiced,1
30367,banco_empresa.db,814,I F DOS SANTOS,IF DOS SANTOS,0.947,Liberado,2026-08-03,2026-07-06,2800.0,220,safe,Liberado,mark_invoiced,1
30374,banco_empresa.db,823,ALPARGATAS CARPINA,ALPARGATAS CARPINA,1.0,Aprovado,2026-08-04,2026-07-08,15000.0,228,safe,Aprovado,mark_invoiced,1
30376,banco_empresa.db,817,FRI SABOR,FRI SABOR,1.0,Liberado,2026-08-03,2026-07-08,1100.0,222,safe,Liberado,mark_invoiced,1
30382,banco_empresa.db,826,RUPLAST,RUPLAST,1.0,Liberado,2026-08-05,2026-07-13,800.0,230,safe,Liberado,mark_invoiced,1
30384,banco_empresa.db,836,VITRIUM,VITRIUM,1.0,Ag. Aprovação,2026-08-12,2026-07-13,3000.0,240,safe,Ag. Aprovação,mark_invoiced,1
30385,banco_automacao.db,1016,CEARA MIRIM,CEARA MIRIM,1.0,Ag. Aprovação,2026-08-03,2026-07-14,3895.0,47,safe,Ag. Aprovação,mark_invoiced,1
30386,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30387,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30389,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30391,banco_automacao.db,1028,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-19,2026-07-14,22507.95,55,safe,Aprovado,mark_invoiced,2
30392,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30393,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30394,banco_automacao.db,1026,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Aprovado,2026-08-13,2026-07-14,18494.24,54,safe,Aprovado,mark_invoiced,2
30395,banco_automacao.db,1032,USINA TRAPICHE,USINA TRAPICHE,1.0,Entrada,2026-08-21,2026-07-14,12925.7,58,safe,Entrada,mark_invoiced,2
30396,banco_automacao.db,1032,USINA TRAPICHE,USINA TRAPICHE,1.0,Entrada,2026-08-21,2026-07-14,12925.7,58,safe,Entrada,mark_invoiced,2
30397,banco_automacao.db,1032,USINA TRAPICHE,USINA TRAPICHE,1.0,Aprovado,2026-08-21,2026-07-14,12925.7,58,safe,Aprovado,mark_invoiced,2
30398,banco_automacao.db,1032,USINA TRAPICHE,USINA TRAPICHE,1.0,Aprovado,2026-08-21,2026-07-14,12925.7,58,safe,Aprovado,mark_invoiced,2
30399,banco_empresa.db,813,NORDESTE MAIS ALIMENTOS,NORDESTE MAIS,0.891,Aprovado,2026-08-03,2026-07-15,6882.0,219,safe,Aprovado,mark_invoiced,1
30403,banco_empresa.db,818,PNEUMATEX LTDA,PNEUMATEX,1.0,Ag. Aprovação,2026-08-04,2026-07-20,1500.0,223,safe,Ag. Aprovação,mark_invoiced,1
30404,banco_empresa.db,837,ISOESTE,ISOESTE,1.0,Liberado,2026-08-12,2026-07-21,2000.0,244,safe,Liberado,mark_invoiced,1
30412,banco_automacao.db,1023,CORR PLASTIK,CORR PLASTIK,1.0,Aprovado,2026-08-12,2026-07-23,8990.0,53,safe,Aprovado,mark_invoiced,3
30418,banco_automacao.db,1017,USINA CUCAU,USINA CUCAU,1.0,Aprovado,2026-08-03,2026-07-27,7600.0,48,safe,Aprovado,mark_invoiced,1
30419,banco_empresa.db,812,FIABESA,FIABESA,1.0,Ag. Aprovação,2026-08-03,2026-07-27,1500.0,218,safe,Ag. Aprovação,mark_invoiced,1
30424,banco_empresa.db,833,SIDORE,SIDORE INDUSTRIA E COMERCIO,0.938,Aprovado,2026-08-10,2026-07-27,1200.0,237,safe,Aprovado,mark_invoiced,1
30428,banco_empresa.db,840,USINA ESTIVAS,USINA ESTIVAS,1.0,Aprovado,2026-08-13,2026-07-28,36105.0,250,safe,Aprovado,mark_invoiced,2
30433,banco_empresa.db,842,FIBRASA,FIBRASA,1.0,Liberado,2026-08-17,2026-07-29,5500.0,251,safe,Liberado,mark_invoiced,1
30438,banco_automacao.db,1018,CORR PLASTIK,CORR PLASTIK,1.0,Aprovado,2026-08-05,2026-07-30,3200.0,49,safe,Aprovado,mark_invoiced,3
30444,banco_empresa.db,822,ASIAPLAST,ASIAPLAST,1.0,Aprovado,2026-08-04,2026-08-03,3800.0,226,safe,Aprovado,mark_invoiced,1
30447,banco_empresa.db,845,MONDELEZ,MONDELEZ,1.0,Aprovado,2026-08-21,2026-08-04,1400.0,254,safe,Aprovado,mark_invoiced,1
30454,banco_empresa.db,834,ALPARGATAS CARPINA,ALPARGATAS CARPINA,1.0,Ag. Aprovação,2026-08-12,2026-08-06,17000.0,239,safe,Ag. Aprovação,mark_invoiced,1
30457,banco_empresa.db,835,FIABESA,FIABESA,1.0,Aprovado,2026-08-12,2026-08-07,2000.0,241,safe,Aprovado,mark_invoiced,1
30463,banco_empresa.db,843,USINA SÃO JOSÉ,USINA SAO JOSE S/A,1.0,Aprovado,2026-08-20,2026-08-12,12223.65,275,safe,Aprovado,mark_invoiced,1
30464,banco_empresa.db,843,USINA SÃO JOSÉ,USINA SAO JOSE S/A,1.0,Ag. Aprovação,2026-08-20,2026-08-12,12223.65,275,safe,Ag. Aprovação,mark_invoiced,1
