os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
25752,banco_empresa.db,581,EDK,EDK,1.0,Liberado,2025-12-01,2025-11-21,22442.5,6,safe,Liberado,mark_invoiced,1
25753,banco_empresa.db,581,EDK,EDK,1.0,Liberado,2025-12-01,2025-11-21,22442.5,6,safe,Liberado,mark_invoiced,1
25755,banco_empresa.db,609,FIABESA,Fiabesa Guararapes,0.847,Liberado,2026-01-07,2025-11-24,2500.0,39,safe,Liberado,mark_invoiced,1
25761,banco_empresa.db,607,ASA,Asa,1.0,Liberado,2026-03-06,2025-11-24,16000.0,SNF,safe,Liberado,mark_invoiced,1
26760,banco_empresa.db,605,EDK,EDK,1.0,Liberado,2025-12-29,2025-11-25,6536.0,34,safe,Liberado,mark_invoiced,1
26761,banco_empresa.db,605,EDK,EDK,1.0,Liberado,2025-12-29,2025-11-25,6536.0,34,safe,Liberado,mark_invoiced,1
26762,banco_empresa.db,605,EDK,EDK,1.0,Liberado,2025-12-29,2025-11-25,6536.0,34,safe,Liberado,mark_invoiced,1
26763,banco_empresa.db,585,LÁ CARNE,LACARNE,0.933,Liberado,2025-12-02,2025-11-26,800.0,11,safe,Liberado,mark_invoiced,2
26765,banco_automacao.db,265,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2025-12-15,2025-11-26,11495.0,5,safe,Liberado,mark_invoiced,1
26767,banco_automacao.db,269,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-01-15,2025-11-27,31321.5,10,safe,Liberado,mark_invoiced,1
26768,banco_automacao.db,977,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-04-01,2025-11-27,18000.0,15,safe,Liberado,mark_invoiced,1
26769,banco_automacao.db,265,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2025-12-15,2025-11-27,11495.0,5,safe,Liberado,mark_invoiced,1
26770,banco_automacao.db,269,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-01-15,2025-11-27,31321.5,10,safe,Liberado,mark_invoiced,1
26771,banco_automacao.db,269,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-01-15,2025-11-27,31321.5,10,safe,Liberado,mark_invoiced,1
26772,banco_automacao.db,269,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-01-15,2025-11-27,31321.5,10,safe,Liberado,mark_invoiced,1
26776,banco_empresa.db,593,IF DOS SANTOS,IF DOS SANTOS,1.0,Liberado,2025-12-11,2025-12-02,2000.0,20,safe,Liberado,mark_invoiced,1
26777,banco_empresa.db,593,IF DOS SANTOS,IF DOS SANTOS,1.0,Liberado,2025-12-11,2025-12-02,2000.0,20,safe,Liberado,mark_invoiced,1
26778,banco_empresa.db,630,MONDELEZ,MONDELEZ,1.0,Liberado,2026-02-09,2025-12-02,3332.32,60,safe,Liberado,mark_invoiced,1
26779,banco_automacao.db,273,CORURIPE,CORURIPE,1.0,Liberado,2026-02-02,2025-12-04,75807.0,15,safe,Liberado,mark_invoiced,1
26780,banco_automacao.db,273,CORURIPE,CORURIPE,1.0,Liberado,2026-02-02,2025-12-03,75807.0,15,safe,Liberado,mark_invoiced,1
26782,banco_automacao.db,368,CEARA MIRIM,CEARA MIRIM,1.0,Liberado,2025-12-05,2025-12-03,14560.0,3,safe,Liberado,mark_invoiced,1
26783,banco_empresa.db,696,VITRIUM,VITRIUM,1.0,Liberado,2026-04-01,2025-12-03,6000.0,118,safe,Liberado,mark_invoiced,1
26784,banco_empresa.db,696,VITRIUM,VITRIUM,1.0,Liberado,2026-04-01,2025-12-03,6000.0,118,safe,Liberado,mark_invoiced,1
26785,banco_empresa.db,696,VITRIUM,VITRIUM,1.0,Liberado,2026-04-01,2025-12-03,6000.0,118,safe,Liberado,mark_invoiced,1
26786,banco_empresa.db,696,VITRIUM,VITRIUM,1.0,Liberado,2026-04-01,2025-12-03,6000.0,118,safe,Liberado,mark_invoiced,1
26787,banco_empresa.db,703,VITRIUM,VITRIUM,1.0,Liberado,2026-04-01,2025-12-03,7000.0,124,safe,Liberado,mark_invoiced,1
26788,banco_empresa.db,724,VITRIUM,VITRIUM,1.0,Liberado,2026-05-04,2025-12-03,14000.0,140,safe,Liberado,mark_invoiced,1
26789,banco_empresa.db,724,VITRIUM,VITRIUM,1.0,Liberado,2026-05-04,2025-12-03,14000.0,140,safe,Liberado,mark_invoiced,1
26791,banco_empresa.db,594,MABOR,MABOR,1.0,Liberado,2025-12-12,2025-12-10,1200.0,21,safe,Liberado,mark_invoiced,2
26797,banco_empresa.db,591,NORDESTE MAIS,NORDESTE MAIS,1.0,Liberado,2025-12-11,2025-12-05,5700.0,18,safe,Liberado,mark_invoiced,1
26798,banco_empresa.db,595,HS,HS,1.0,Liberado,2025-12-16,2025-12-07,5475.0,24,safe,Liberado,mark_invoiced,1
26802,banco_automacao.db,985,USINA CORURIPE,CORURIPE,0.893,Liberado,2026-04-14,2025-12-10,145902.6,20,safe,Liberado,mark_invoiced,1
26803,banco_automacao.db,985,USINA CORURIPE,CORURIPE,0.893,Liberado,2026-04-14,2025-12-10,145902.6,20,safe,Liberado,mark_invoiced,1
26805,banco_automacao.db,985,USINA CORURIPE,CORURIPE,0.893,Liberado,2026-04-14,2025-12-10,145902.6,20,safe,Liberado,mark_invoiced,1
26806,banco_automacao.db,985,USINA CORURIPE,CORURIPE,0.893,Liberado,2026-04-14,2025-12-10,145902.6,20,safe,Liberado,mark_invoiced,1
26807,banco_automacao.db,986,CORURIPE,CORURIPE,1.0,Liberado,2026-04-22,2025-12-10,13142.97,21,safe,Liberado,mark_invoiced,2
26809,banco_empresa.db,664,ISOESTE,ISOESTE,1.0,Liberado,2026-03-03,2025-12-10,1972.0,88,safe,Liberado,mark_invoiced,1
27811,banco_empresa.db,442,MEXICHEN,MEXICHEM,0.875,Aprovado,2026-01-05,2025-12-11,1000.0,35,safe,Aprovado,mark_invoiced,1
27814,banco_empresa.db,600,IF DOS SANTOS,IF DOS SANTOS,1.0,Liberado,2025-12-18,2025-12-12,750.0,28,safe,Liberado,mark_invoiced,1
27816,banco_empresa.db,599,MABOR,MABOR,1.0,Liberado,2025-12-18,2025-12-12,4265.0,27,safe,Liberado,mark_invoiced,1
27817,banco_empresa.db,599,MABOR,MABOR,1.0,Liberado,2025-12-18,2025-12-12,4265.0,27,safe,Liberado,mark_invoiced,1
27818,banco_automacao.db,270,USINA SAO JOSE DO PINHEIRO,USINA S JOSÉ PINHEIRO,0.905,Liberado,2026-01-16,2025-12-13,36500.0,11,safe,Liberado,mark_invoiced,1
28821,banco_empresa.db,616,MONDELEZ,MONDELEZ,1.0,Liberado,2026-01-13,2025-12-18,1540.51,43,safe,Liberado,mark_invoiced,1
28822,banco_empresa.db,604,MONDELEZ,MONDELEZ,1.0,Liberado,2025-12-26,2025-12-18,2392.06,33,safe,Liberado,mark_invoiced,1
28828,banco_automacao.db,272,USINA SERRA GRANDE,USINA SERRA GRANDE,1.0,Liberado,2026-01-22,2025-12-19,34992.92,13,safe,Liberado,mark_invoiced,1
28831,banco_empresa.db,611,CORR PLASTIK,CORR PLASTIK,1.0,Liberado,2026-01-12,2025-12-24,3500.0,41,safe,Liberado,mark_invoiced,3
28832,banco_empresa.db,614,CORR PLASTIK,CORR PLASTIK,1.0,Liberado,2026-01-12,2025-12-24,5000.0,42,safe,Liberado,mark_invoiced,2
28835,banco_empresa.db,624,FORTLEV,FORTLEV,1.0,Liberado,2026-01-22,2025-12-30,18000.0,51,safe,Liberado,mark_invoiced,1
28836,banco_empresa.db,624,FORTLEV,FORTLEV,1.0,Liberado,2026-01-22,2025-12-30,18000.0,51,safe,Liberado,mark_invoiced,1
28840,banco_empresa.db,658,USINA SAO JOSE S/A,USINA SAO JOSE S/A,1.0,Liberado,2026-02-27,2025-12-29,5244.0,82,safe,Liberado,mark_invoiced,1
28841,banco_empresa.db,443,USINA SÃO JOSE SA,USINA SAO JOSE S/A,1.0,Liberado,2026-01-06,2025-12-29,5244.0,37,safe,Liberado,mark_invoiced,1
28843,banco_empresa.db,764,VITRIUM,VITRIUM,1.0,Liberado,2026-06-05,2025-12-29,1500.0,177,safe,Liberado,mark_invoiced,1
28845,banco_empresa.db,621,FIBRASA,FIBRASA,1.0,Liberado,2026-01-16,2025-12-29,1900.0,47,safe,Liberado,mark_invoiced,1
28849,banco_empresa.db,626,MONDELEZ,MONDELEZ,1.0,Liberado,2026-02-02,2026-01-05,29756.5,55,safe,Liberado,mark_invoiced,1
28850,banco_empresa.db,610,TOTAL PLAST,TOTAL PLAST,1.0,Liberado,2026-01-09,2026-01-05,21290.64,40,safe,Liberado,mark_invoiced,1
28855,banco_empresa.db,629,FIABESA,Fiabesa Guararapes,0.847,Liberado,2026-02-06,2026-01-06,1230.0,59,safe,Liberado,mark_invoiced,1
28862,banco_empresa.db,666,LA CARNE,LA CARNE,1.0,Liberado,2026-03-03,2026-01-07,1450.0,90,safe,Liberado,mark_invoiced,1
28866,banco_empresa.db,643,AMBEV,AMBEV,1.0,Liberado,2026-02-18,2026-01-08,7000.0,73,safe,Liberado,mark_invoiced,1
28872,banco_empresa.db,444,COAF CRUANGI,COAF CRUANGI,1.0,Liberado,2026-01-20,2026-01-09,28500.0,48,safe,Liberado,mark_invoiced,1
28874,banco_empresa.db,631,USINA GIASA,USINA GIASA,1.0,Liberado,2026-02-09,2026-01-09,3700.0,61,safe,Liberado,mark_invoiced,1
