company_code,entry_type,period,count,amount
universo_eletronica,income,2025-07,28,147823.19
universo_eletronica,income,2025-08,23,194819.62
universo_eletronica,income,2025-09,27,258759.66
universo_eletronica,income,2025-10,29,179657.77
universo_eletronica,income,2025-11,21,184025.07
universo_eletronica,income,2025-12,32,330919.57
universo_eletronica,income,2026-01,22,145871.38
universo_eletronica,income,2026-02,32,234099.35
universo_eletronica,income,2026-03,32,197727.07
universo_eletronica,income,2026-04,24,158125.58
universo_eletronica,income,2026-05,28,179967.71
universo_eletronica,income,2026-06,21,207065.03
universo_eletronica,income,2026-07,30,198254.64
universo_eletronica,income,2026-08,32,261839.90
universo_eletronica,income,UNDATED,14,120930.00
